This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
98c5f8b6b9e46525bd0a0df490641c9e7948ad9271a417db80b13c94545f48bd 202 0 0 0
12a6bd5f855709a31d574c62637265075381ed738df74d0bcf7d6ee88a41788c 10 10 126765 122377
1b79ea9b9aa284610ddf32623bf53f1d9ca1ef4e5f37559361538dc231f31f81 1 1 13199 0
c8a06979fcd4cefed59e76f7599dbecc4a80baf05ded7d60c6003350fd89435f 29 29 271030 241721
af212adfe0901cf259d6c4628762252e9f433ef20193f7c31eac7f0890f27524 32 1 1 1
208e5bd803f38070a7d69256c84809ef34fa39237559ec57e497221bf3e39883 42 42 432892 405800
2f0a28f8cd58e039383d551d27d8d23b591c023ac777da2f4bc1fc74bd5cfd39 12 12 239668 1121
6437f4c74877eeef1867c7b25273f37e754889a0945389209389acbe125e9ca6 2 2 170 0
76395dc3e2adf2c491d276a28e9a367dd4541889b71f5d63ae8257bdf37276bf 18 18 23172 1050
e3530638835e9527e0fb896084532a1d3d914dabc2df3a5ca85dccfca262f155 13 13 3472 1708
91f15ca87e17469378206d27934a2df48a5bed9e228d9b69bd1e66b65d435535 2 2 1241 10
66c2187b6260a649471da7d761b8995ae6e91416d3d9ce12c166d378c261842a 170 169 185729 139383
c7385f4e571f7054e5928a5a5150b468bf0eb889d3e73f539aad45c65064e82d 8 8 2225 182
701bbdba51f5305d453b4439b22fb1a0f8741b350e7426ee89a0e9d7792b7b9e 1 1 7840 0
d32ed25581cee770c70e768855e7931a0872e61181d6d67deea14188198e09e6 58 58 132152 121207
19fd00acf9e84bd2c5d121166f6a2176f22fb688f9e7ca139deec18dcc199e9d 1 1 1276 0
72af6947565809a1835cd925ca58b72a55139c2d8bd9e86d746d30b56f69d20f 31 23 78332 784
e3a20b70a06a84d3d656aca999aaf12e4750906111315e3b3e5bfcfe608dbede 40 40 928277 534932
a2d911aec6d99cc164ca3d1df89af445ad1ac46ed792db60644a4fa56a61ba55 3 3 196 0
ecdff69472680572f307318350a8376672460aa7715b500a2204a4ee3d7a7bdb 44 0 0 0
d44be0fdbef412bee2d4543c819d56b1d8fdc74715e28b8035f244e2fbb15f3a 1 1 30587 0
cd282286d3e249c7d55f7f4b81de0eeef0e15a863ab1294417c1e06469ad2b9f 68 68 48170 26050
7ccffeee8a7b843d318a66d0162342387859674dd9ae9bcf18684fc87b9f0932 561 528 999158 1735825
75a63223076e020112a258d75f13a2e99fc007ac632785a9c0fd6983881094ba 0 0 0 0
4d98b550b73cdd91c574b30357d8a2a0bc67c43becf5daa145d224cf884ff753 6 6 55 36
5faa7dd89db129a1afcfa0213fe219c9327f1a1152e1c6478bd44a17a348a584 14 14 7218 103
ca424ec59ec04cfe252eaa7720a3e7369c582455f42c5a061ee1968badd7eff6 1 1 152 0
b4be950b4490ed15b1c9c901416ce50c6becf378f6bdf7eca513d3639c378012 16 16 13423 115
7c2f922014a1a411118b57eb3d2e642c7717e25dc7405e96b32c57aa450c1a24 8 5 7387 76
af7e27422724a45a8ff3c301aeeaaf5b42797f38813e9d93e7b5e79c7352bcfb 8 4 114 44
6918c8ebd719817a76796436fb75d9f81390b77e91b073627086194b3060e45a 21 21 31929 367
0048bd9f12aaf4c3333fab527c5288798d5962fe475141ab500a504f2f836894 15 14 30794 101
ce242d632727b9b0366d0a34b38769c3de0bcb9a77ad69a4aa63685374aed595 17 17 31580 9878
6137427d1c941e9ad3af1eeafa4f7c3362a49a4ad816ddeb32544938d1879bc6 180 6 79 76
4edaa89af5560dbe71b58c370982aa2ba967d5a2306046dba3684f5be710e364 59 59 1694 618
a30952e8e5a25ab0b334ee2639026f16518744bca7453035dc7eeee4f7123db1 23 0 0 0
cbe6f970200720313e6be23dc7101d4c1f5102ef9ea307092225d308f53d5270 48 48 38882 17888
81cb5d3ca89bb143aecf99e40e14d0ef51144fe29996a54067fbc2cd4aad1efc 4 4 5606 170
ad635c5cea6e48348d7c0b6bf964eb7a9bc5138e24b94f81584dcfd50fa4b688 7 7 2907 475
14a35815bca8bd9994af8e0c99684ad3b4f6f95ae8b1ee9272568c2476d13f44 2 2 8567 1
c99f86ffc96adeea859204b84a381fde8f4706331a9f7eaf295c424180bb3f28 11 11 19881 1257
c4e019fb565c6e5dc41e9b4293c75b4392031b373b9e89da581ed2cd1b19e7db 18 14 119138 82
5595d0a64a0b140fbd0a325299a99b140128d731b91d0c24696a8bac29e0a3fe 11 11 9775 1212
6831706096252b59264d25be87bd439c8874b23b088dd30e9610f97f01d9ba96 4 0 0 0
6d90fa3468164d409dc9901cd9f65ac53a6dcf40bd0fc9015b8bf562635de6fb 25 0 0 0
0976f6e8050a57f1115e5f5cd57a17422cc29899fc1b84f1c8951123d7b7fadf 17 0 0 0
b6dbfd72cafd15e48e6e07c5934c7efeba2f04d51abc1b4732801664a6e98ed7 155 54 15097 9941
105c311c3ae369a8f9a39ae074dc09fbd1d0e679b7984ffb7015e35c614f0611 22 22 5109 1132
f9d9c06df5025be525cf58f2659e5333d8a5541546183ce1936055a8fd2a63a8 12 12 2213 125
98d5615eb7ee98e4efaff090ebe75446c6ffc5326f8052ccc95eb0141590aef0 11 11 1470 9
447fbb89d9c4ca950d165c708015650d5e33b2f261f9f13b52920fa6143b8a9a 54 54 21690 4057
4ec021b678984abd5354554958b6c4215474be59d6940cbee0903ea9e207dca1 269 269 77969 23260
be275960b25370ec26fcf5c06246dc09d48fc69a3329fdcf383ee7f88652c13a 14 14 2096 196
81becf0e7433bd5674d9385727289abad7b5b4a9f598f6434168131e26ab7e43 98 56 23177 3990
90d2356ace4d34b7cbe2fd2ae540164d904366f817a2938366bb175a395cc424 155 55 15371 10196
f87efea8f7e6581f19bcabfa01da1a895c0bccc70be981fff7ef281069a1aea0 94 55 23176 3989
29a8298a0d9b4b4387a8f83c2b1d25caa820360883fa9e0aad772ea4587487fc 7 7 65 26
7681d9eb8b1ddd2e17e2e9fd4c63b45ac418d17672719593ee35d59efbe0fff0 436 184 24851 39989
b52f868a5e5b216eae81a33541739302ca7c2942dfb46e678c19a5ab2bd8c099 47 23 1159 738
08771fa77c5171576e7b073b0a2cd4be31b388a126517ef820d2014ca7b7fd24 1 1 5 0
47b7de43378302b47b0eeaa168ba33b7d932d5cd94fa3928a700eece661795db 0 0 0 0
bacaabe24783324159173f5d85257ff3cdcc888e4658075ebd64f91c9bd20a74 183 11 54 18
f244df4712fe7323f1ce32644156beaeb2a21e0c2eb150638fb5ac07eee506f9 23 23 16036 6834
a47b528f9e8d0e575937e720c1c75b648a580fea1942585d2fb7cf53e18d1225 21 21 15997 6833
599c768a68896532dfc42c8707329279d4ff99ee6a89280a74fd642fae856173 67 66 19840 10832
29682b3def1763bdc1ad137867265f58581410d488ad8fb19024a8f23a66f090 224 2 715 2
60bc1506b88a9e8931f4fcb0f0abda9b5f0c860ef6ade54cc1672387562f2705 2 2 517 1
b6c44c05508f9644a8291382edcdbe16203000f46cbbbbb41d926cc2b9da71ce 122 96 73416 47136
e4968789fc899174db28d4ecfc9ed1ac43d2309ffbcf508946aa0f887e863c1a 5 5 16677 418
52e2560cc34f06847e70e587cdd296ac2968c8dd8c23cdfe51caf23af4d3595c 67 66 19840 10832
ceeceeff5235711b6b2dccd9373395278425d1d2160e886e72a6d9ec551ebc2f 57 33 31511 9186
22fd518fb07f56a7bab573811f7c38f3e3a9b1cecfadf00d3d242f7a871e951b 18 18 26787 899
